,sepal_length,sepal_width,petal_length,petal_width
132,5.1,3.0,3.6,2.0
133,7.7,4.2,1.5,1.6
134,5.1,3.6,4.8,0.6
135,7.5,2.3,3.9,0.3
136,5.9,3.8,4.7,0.1
137,4.6,3.7,1.8,0.2
138,4.7,2.8,2.4,1.5
139,5.6,3.3,2.8,2.2
140,4.3,2.7,1.7,1.5
141,5.7,3.3,6.3,0.6
142,5.0,2.7,2.2,0.4
143,7.1,2.2,3.0,1.7
144,5.1,2.5,1.9,1.4
145,5.8,3.2,5.3,1.7
146,5.0,2.7,6.0,2.2
147,6.0,4.0,3.1,1.2
148,7.8,2.5,1.1,0.3
149,5.9,2.1,3.9,1.7
150,5.0,2.3,1.9,1.6
151,6.5,4.2,1.7,0.8
152,6.2,2.6,2.4,0.4
153,7.1,3.6,5.7,2.1
154,4.7,4.4,5.4,0.9
155,7.8,2.0,2.8,0.6
156,5.2,3.3,5.7,2.2
157,5.5,3.4,4.3,1.1
158,4.4,3.0,4.9,2.2
159,6.1,4.2,3.8,1.9
160,7.6,3.4,4.7,0.5
161,5.8,4.3,1.8,1.2
162,4.8,2.5,3.2,1.8
163,5.5,2.4,6.6,2.4
164,4.4,2.6,4.3,1.3
165,7.1,4.0,1.2,0.5
166,7.1,3.7,4.8,1.0
167,5.0,2.7,2.5,1.5
168,4.4,2.9,2.6,0.9
169,6.1,3.2,3.9,1.9
170,6.2,2.8,3.0,0.9
171,7.0,3.8,3.7,0.1
172,6.0,4.3,4.7,0.8
173,6.5,4.1,4.4,1.0
174,4.5,4.3,4.1,1.7
175,7.4,3.3,1.2,2.2
176,5.9,2.8,2.1,0.7
177,5.4,3.3,5.6,0.6
178,4.9,2.8,1.7,1.3
179,4.4,2.3,4.6,0.4
180,4.6,3.7,3.0,0.2
181,5.2,4.0,1.2,0.6
182,5.4,3.0,3.3,1.8
183,7.6,2.1,1.3,0.8
184,7.7,3.2,5.8,0.2
185,6.9,2.0,5.4,1.4
186,5.6,3.5,4.9,1.7
187,7.7,4.2,4.6,1.7
188,6.1,2.8,4.2,1.6
189,6.7,3.1,6.2,1.8
190,6.1,2.5,3.9,0.6
191,4.6,3.2,4.4,1.0
192,6.1,3.1,4.9,2.4
193,7.6,3.3,4.2,2.0
194,4.8,3.2,3.7,1.0
195,7.4,3.3,3.0,0.1
196,7.1,3.8,4.4,1.5
197,4.4,3.5,5.8,0.4
198,7.7,3.7,1.7,0.1
199,6.5,3.1,4.3,0.9
200,5.1,3.2,1.4,1.4
201,4.4,3.2,2.5,2.3
202,6.3,3.3,5.9,1.7
203,5.4,3.8,1.2,0.2
204,4.6,3.4,2.5,2.3
205,7.5,2.9,3.3,0.6
206,7.1,4.0,1.4,0.1
207,7.5,3.6,1.4,2.2
208,5.9,3.0,3.7,1.0
209,7.7,3.2,5.7,2.4
210,6.9,3.0,6.7,1.6
211,7.8,3.1,6.4,0.4
212,4.4,3.5,3.8,0.3
213,5.1,4.2,3.0,0.2
214,4.7,3.6,2.5,0.2
215,7.1,3.9,3.6,0.5
216,6.9,3.1,5.7,0.2
217,6.7,3.8,3.7,0.6
218,7.2,4.2,3.2,1.3
219,7.8,3.6,4.7,1.3
220,4.3,2.5,1.2,2.0
221,7.0,3.0,6.6,1.7
222,7.2,3.0,4.5,0.8
223,4.8,2.8,3.6,2.4
224,5.6,2.3,3.9,1.8
225,6.8,3.3,4.9,0.4
226,5.1,3.9,4.4,1.9
227,7.4,3.2,3.3,0.7
228,7.7,3.5,6.0,0.3
229,7.4,3.5,3.2,2.2
230,5.0,3.4,4.7,0.3
231,4.7,3.6,3.8,2.3
232,6.8,4.4,5.2,1.5
233,4.7,2.5,2.0,1.2
234,4.9,4.0,1.6,0.4
235,5.9,3.2,2.4,1.4
236,4.5,4.0,1.5,0.4
237,7.2,3.8,3.2,2.1
238,4.9,4.2,4.7,1.5
239,7.8,4.2,4.0,2.2
240,6.9,3.8,3.7,1.8
241,4.9,4.3,2.5,1.9
242,4.4,2.5,2.2,1.0
243,5.0,3.0,5.9,1.8
244,4.6,2.3,2.1,0.1
245,5.5,4.2,6.0,2.1
246,6.7,2.4,5.0,0.4
247,6.6,2.2,2.3,0.3
248,7.0,3.9,1.2,1.8
249,4.6,2.2,1.0,1.6
250,5.0,3.5,2.2,1.5
251,7.6,2.1,2.0,2.4
252,6.2,2.6,1.8,2.1
253,4.4,3.2,1.8,1.5
254,7.5,2.5,2.7,1.6
255,6.5,3.2,5.5,0.5
256,5.2,2.3,4.1,1.7
257,4.5,3.1,1.6,0.6
258,5.4,3.0,4.2,1.1
259,5.6,2.0,5.9,0.5
260,4.7,3.9,1.5,1.8
261,5.3,2.7,5.5,1.5
262,4.7,3.4,5.3,1.6
263,5.8,3.7,3.3,1.8
264,5.6,3.7,5.3,1.0
265,4.4,2.6,2.3,2.4
266,6.3,3.3,5.7,0.9
267,4.3,3.7,2.5,1.5
268,7.0,3.2,3.4,1.6
269,4.8,3.8,1.4,2.0
270,5.9,2.3,3.8,0.2
271,6.1,4.3,4.4,1.4
272,5.9,4.1,5.0,1.3
273,6.7,3.8,3.8,0.1
274,6.7,3.0,5.4,1.7
275,6.6,3.5,6.1,0.6
276,4.9,2.8,3.5,2.0
277,7.1,3.2,5.4,0.1
278,5.2,3.4,4.2,1.6
279,4.9,2.3,4.7,0.3
280,7.5,4.2,2.0,1.5
281,6.7,2.5,2.5,0.3
282,6.1,2.3,2.0,1.9
283,4.4,2.4,2.3,1.7
284,4.8,4.2,5.8,0.5
285,6.7,2.4,6.4,1.3
286,6.2,2.8,4.5,2.0
287,6.2,3.7,2.2,1.0
288,6.4,2.0,3.4,0.4
289,5.2,2.9,6.8,0.4
290,5.4,2.2,2.0,0.2
291,7.4,3.6,4.6,0.1
292,7.4,2.5,6.5,0.5
293,7.1,2.7,1.1,0.5
294,5.2,2.8,1.4,0.5
295,5.6,2.9,5.1,0.2
296,5.6,3.8,5.8,0.5
297,6.9,2.9,2.3,1.9
298,7.1,4.0,6.5,2.4
299,6.1,3.7,4.1,2.2
300,6.0,2.0,1.7,1.7
301,7.5,4.3,3.6,2.3
302,4.9,2.4,3.8,0.6
303,6.2,3.4,2.2,2.0
304,6.5,2.0,1.3,2.1
305,6.4,3.2,5.7,0.3
306,5.3,3.6,1.2,0.3
307,5.0,4.1,5.0,1.0
308,5.2,3.8,6.7,0.4
309,5.1,3.1,4.5,1.3
310,5.1,4.2,3.9,1.0
311,5.0,2.4,5.9,1.9
312,7.8,2.9,4.8,1.0
313,7.3,2.9,5.0,0.8
314,7.4,3.1,1.3,2.4
315,6.1,3.1,3.1,0.6
316,6.1,3.6,1.5,1.0
317,6.6,4.4,4.0,1.3
318,6.5,4.4,5.9,1.4
319,5.6,3.8,1.2,1.3
320,6.8,3.5,1.2,2.0
321,5.2,4.1,4.0,2.3
322,7.7,2.7,4.3,1.3
323,6.0,3.6,2.7,0.4
324,5.3,3.7,2.4,2.2
325,5.5,2.5,4.9,1.6
326,5.9,3.8,2.1,1.6
327,6.9,3.8,5.2,0.6
328,4.3,3.6,5.7,0.9
329,7.1,3.6,3.4,0.7
330,6.6,2.5,2.7,0.7
331,4.3,3.8,3.4,0.2
332,4.7,3.5,1.5,0.3
333,4.3,3.6,5.8,0.9
334,5.0,4.2,2.9,0.7
335,4.5,2.7,3.8,1.8
336,4.4,2.8,4.1,1.3
337,7.7,4.4,3.6,0.6
338,6.6,4.1,1.8,1.5
339,6.0,4.4,5.4,1.1
340,6.8,4.4,1.4,1.8
341,6.8,3.9,6.0,0.2
342,7.0,3.9,1.2,1.4
343,4.5,2.5,5.7,0.4
344,6.9,3.9,1.1,0.5
345,7.8,2.5,3.6,1.8
346,5.8,3.8,3.4,1.7
347,4.5,2.3,2.5,0.7
348,4.5,3.2,1.5,0.3
349,5.1,2.9,3.7,0.5
350,6.0,4.3,1.9,1.1
351,6.9,4.1,5.0,2.3
352,7.4,4.4,4.5,0.1
353,7.0,2.4,4.1,2.4
354,5.6,3.1,4.6,2.1
355,5.3,2.6,1.9,2.3
356,5.9,3.6,5.3,2.3
357,7.2,2.7,5.5,0.2
358,5.7,2.1,5.2,1.3
359,4.5,3.0,5.3,0.3
360,4.8,2.5,3.0,0.3
361,4.8,4.0,5.0,0.2
362,5.0,3.4,2.8,0.5
363,6.7,4.4,1.4,1.8
364,7.1,3.1,3.0,0.4
365,6.2,2.3,4.5,2.0
366,6.1,4.3,1.3,0.1
367,7.3,4.3,6.5,0.6
368,4.8,3.3,1.5,0.4
369,6.2,2.0,4.5,1.1
370,6.6,3.9,4.9,1.1
371,7.2,3.3,3.9,2.4
372,7.2,3.7,3.9,0.2
373,6.0,4.4,6.3,1.7
374,6.7,3.1,2.2,1.4
375,5.5,3.0,6.0,2.0
376,7.0,2.0,5.6,0.5
377,6.8,4.4,2.7,0.1
378,4.7,2.6,2.8,0.3
379,7.6,2.6,3.1,1.7
380,6.6,3.8,4.9,1.4
381,5.0,2.2,3.6,0.4
382,6.6,3.2,2.9,2.1
383,4.8,3.2,3.3,1.6
384,4.7,3.6,2.9,1.8
385,4.3,2.6,1.5,1.4
386,7.6,4.2,1.8,0.8
387,5.2,2.2,1.4,1.6
388,6.8,3.6,6.5,0.8
389,7.1,3.2,3.5,1.2
390,6.8,3.1,3.5,1.9
391,5.4,4.4,5.9,1.5
392,5.1,2.1,2.0,1.7
393,5.5,2.1,6.8,1.8
394,7.8,3.1,4.2,2.2
395,6.5,2.5,2.7,1.6
396,6.3,2.4,4.2,1.6
397,4.3,2.1,5.7,2.4
398,6.6,3.8,6.5,0.6
399,4.8,3.1,1.9,1.9
400,4.7,2.4,4.0,0.1
401,5.7,2.2,1.3,2.3
402,7.8,2.5,6.8,1.8
403,6.5,4.0,5.9,1.7
404,7.0,3.2,1.6,2.4
405,5.0,2.3,4.7,0.2
406,5.7,3.6,2.3,1.4
407,4.8,3.8,1.0,1.9
408,5.9,2.2,5.8,0.1
409,7.8,3.7,5.5,0.4
410,6.3,2.1,2.5,1.9
411,5.7,4.2,2.3,0.4
412,7.2,4.4,3.7,1.0
413,4.4,2.2,2.6,0.8
414,5.4,2.7,3.2,1.4
415,7.4,3.9,3.5,2.3
416,4.6,3.7,5.8,1.5
417,6.3,3.4,6.4,1.4
418,7.8,4.3,2.5,1.7
419,5.2,3.0,6.4,1.7
420,7.8,2.1,1.8,2.1
421,6.2,3.1,6.8,0.4
422,7.2,3.9,1.8,1.0
423,7.2,2.1,4.0,0.8
424,4.7,3.6,1.5,1.8
425,6.5,2.9,1.2,1.6
426,5.0,3.5,5.3,2.0
427,4.5,4.2,3.9,1.2
428,6.5,2.7,2.4,2.1
429,5.9,3.6,2.1,2.2
430,5.0,2.0,1.8,1.2
431,5.7,2.4,5.7,1.3
432,4.4,2.0,1.4,0.7
433,6.0,4.1,3.8,1.5
434,6.7,4.3,5.6,0.9
435,7.4,3.4,1.2,0.2
436,6.4,2.6,1.2,1.5
437,6.1,3.8,6.8,0.8
438,4.7,4.0,6.5,0.7
439,7.7,3.8,5.4,1.0
440,6.7,3.7,4.8,1.7
441,5.6,3.7,5.6,0.8
442,7.4,3.4,1.3,1.5
443,4.3,4.2,6.0,0.6
444,6.6,2.5,3.5,2.1
445,6.4,3.5,5.4,0.4
446,7.7,2.7,2.5,2.0
447,4.6,2.0,5.4,2.4
448,5.0,2.9,2.9,1.0
449,5.7,2.5,1.6,0.6
450,5.2,4.2,2.9,1.9
451,7.8,2.9,4.5,1.7
452,7.5,3.6,1.3,1.3
453,4.4,2.9,1.1,1.2
454,5.7,4.2,3.7,1.0
455,5.6,2.6,5.8,0.8
456,6.3,2.4,5.9,0.4
457,5.2,3.3,1.9,1.4
458,4.7,2.5,6.6,0.8
459,5.1,3.4,3.3,0.4
460,4.4,3.5,5.0,2.4
461,5.2,3.1,4.9,1.2
462,6.0,3.5,1.5,1.3
463,5.4,2.7,3.7,1.2
464,5.9,2.2,1.1,0.3
465,4.6,3.1,5.1,1.6
466,4.4,3.1,5.2,0.4
467,7.2,4.2,4.4,0.4
468,6.8,2.3,1.7,1.1
469,5.3,2.7,1.7,2.2
470,5.2,4.2,6.2,1.7
471,5.0,3.1,5.0,0.9
472,4.6,3.1,5.1,1.9
473,6.0,4.0,1.1,1.8
474,5.8,3.5,6.3,0.9
475,7.8,2.5,6.6,2.0
476,7.4,3.5,6.0,2.2
477,5.1,3.9,2.2,2.1
478,4.4,3.8,1.8,0.8
479,6.2,3.9,1.6,0.7
480,5.3,3.1,4.5,1.5
481,6.0,2.3,6.8,1.1
482,4.4,2.5,4.6,0.9
483,4.3,2.9,3.2,1.8
484,7.8,3.0,3.9,0.2
485,6.2,2.8,4.9,0.8
486,5.6,2.2,5.2,0.6
487,6.5,2.7,6.0,1.8
488,5.3,3.5,1.0,1.9
489,7.6,3.8,2.1,2.3
490,4.7,2.0,5.7,1.9
491,6.1,4.1,1.3,0.7
492,6.6,3.5,2.9,2.3
493,4.4,4.0,2.5,1.9
494,7.4,3.1,6.8,0.3
495,5.6,3.9,2.3,1.4
496,5.2,2.0,2.4,2.1
497,7.4,3.1,6.2,0.1
498,4.9,3.0,4.8,1.1
499,5.8,4.4,5.8,0.5
500,7.1,2.3,6.7,0.6
501,6.2,3.6,3.6,1.6
502,6.7,2.4,5.0,0.2
503,6.0,3.9,4.5,1.6
504,5.2,3.5,4.2,0.8
505,5.1,2.3,1.5,0.6
506,7.0,2.9,6.6,1.7
507,5.8,3.6,3.5,0.8
508,7.1,3.5,3.6,0.9
509,6.0,3.8,2.6,0.8
510,5.8,2.7,5.8,2.4
511,4.4,2.2,1.3,0.1
512,6.1,3.8,4.8,1.4
513,6.9,3.2,4.4,1.7
514,7.8,2.8,6.5,2.3
515,5.8,4.0,6.7,1.4
516,5.2,4.1,5.0,1.5
517,6.8,3.2,3.5,2.4
518,7.3,2.1,4.9,1.0
519,5.9,2.8,5.1,1.7
520,5.4,3.3,4.0,0.4
521,5.3,2.3,3.9,0.5
522,4.3,2.5,6.8,2.4
523,5.8,3.6,2.3,1.0
524,6.7,3.2,4.1,1.5
525,7.3,3.2,5.7,0.3
526,7.3,3.6,4.2,2.4
527,7.3,4.2,1.8,1.6
528,5.6,2.5,5.5,0.8
529,6.7,2.8,5.2,0.2
530,6.8,2.5,5.2,2.3
531,4.9,3.4,4.0,2.3
532,6.3,3.8,2.1,1.4
533,4.8,3.1,4.3,2.2
534,4.5,2.5,1.2,0.4
535,4.4,2.8,6.6,1.0
536,4.8,3.9,1.9,0.4
537,6.5,2.6,3.8,2.0
538,4.6,3.0,3.4,0.3
539,6.5,4.0,6.4,0.1
540,4.9,3.8,5.6,0.7
541,7.1,3.3,3.2,2.1
542,7.2,2.8,5.3,2.2
543,7.1,3.0,4.4,2.4
544,5.6,2.8,2.0,1.0
545,6.9,3.6,6.4,1.7
546,4.3,3.1,6.5,2.1
547,7.4,2.7,1.5,1.5
548,6.9,2.1,4.9,0.5
549,5.6,2.6,2.5,1.0
550,6.5,4.1,4.3,1.7
551,6.5,3.7,4.1,2.0
552,6.8,2.3,1.1,1.3
553,7.8,3.5,4.0,1.1
554,6.7,2.4,3.8,1.3
555,7.1,3.3,1.4,2.2
556,7.6,3.9,2.9,2.2
557,4.3,3.7,1.8,0.5
558,4.5,2.2,2.7,2.3
559,5.5,4.4,2.0,0.5
560,5.4,3.4,2.1,1.8
561,6.7,4.0,5.8,2.1
562,7.0,2.2,6.7,1.5
563,5.8,3.7,5.8,1.6
564,6.3,2.5,5.5,1.9
565,6.7,4.3,4.6,0.5
566,4.6,4.0,6.1,2.0
567,4.4,3.0,3.6,0.4
568,7.3,2.2,6.6,2.3
569,7.8,3.2,5.2,1.8
570,4.8,2.2,6.0,1.1
571,6.5,2.2,3.3,2.0
572,7.2,4.4,2.5,1.9
573,5.2,4.4,2.0,1.9
574,6.2,4.2,5.7,1.2
575,4.9,2.6,3.2,2.4
576,7.4,2.3,5.6,0.7
577,7.0,4.3,1.0,0.7
578,6.8,3.6,5.7,1.7
579,7.1,2.0,3.7,2.0
580,4.4,2.2,3.9,1.8
581,5.8,2.1,2.7,1.4
582,5.7,3.0,1.6,1.2
583,6.4,2.3,4.3,0.1
584,7.8,3.7,3.0,1.5
585,6.5,2.3,1.5,0.9
586,4.6,3.1,1.7,1.0
587,6.4,3.2,2.6,1.8
588,5.1,4.4,4.1,0.9
589,6.7,2.9,1.2,0.5
590,6.8,2.8,4.4,2.0
591,6.8,2.0,6.1,0.1
592,7.1,3.0,3.5,0.7
593,7.5,2.6,4.0,2.0
594,4.7,2.7,3.3,1.3
595,5.5,2.4,2.9,0.9
596,7.4,3.1,3.1,1.0
597,5.4,4.2,4.3,2.1
598,6.9,2.0,2.9,0.1
599,7.3,3.2,1.0,1.1
600,6.7,2.9,6.7,1.2
601,7.8,3.9,1.5,1.6
602,5.1,3.2,5.6,0.7
603,6.0,3.1,1.7,2.1
604,6.0,4.0,4.0,0.9
605,6.5,3.0,6.3,0.1
606,6.6,4.2,1.6,1.7
607,7.0,4.2,4.8,1.6
608,5.9,3.3,2.9,2.0
609,4.7,2.8,1.9,1.4
610,5.6,2.8,1.2,2.1
611,6.0,2.9,6.1,2.1
612,7.8,3.7,5.2,1.4
613,7.3,4.3,6.1,0.2
614,6.5,4.3,1.1,0.9
615,7.6,3.8,5.6,1.1
616,4.9,2.9,5.5,0.1
617,6.0,4.1,4.0,0.5
618,7.0,4.0,1.1,1.2
619,5.7,2.6,3.1,0.2
620,4.9,3.5,5.1,1.5
621,5.7,4.0,5.0,1.4
622,5.5,4.2,5.0,2.3
623,4.7,2.3,4.7,0.9
624,5.1,4.0,3.3,0.4
625,6.5,3.2,3.1,1.5
626,5.2,3.8,1.4,0.4
627,5.8,3.9,1.5,1.7
628,6.2,2.5,5.9,0.7
629,5.0,3.3,1.1,0.1
630,7.3,3.5,4.5,2.1
631,6.5,4.2,4.8,1.0
632,7.4,2.8,3.4,0.9
633,6.2,3.4,1.5,1.1
634,7.6,4.2,1.5,0.6
635,6.7,2.2,1.8,1.9
636,5.5,3.7,6.0,1.7
637,4.3,2.2,5.0,1.9
638,5.9,3.9,6.4,1.9
639,5.6,4.4,5.9,2.4
640,4.7,4.1,3.1,2.1
641,7.3,3.4,6.8,0.1
642,7.4,4.4,4.6,1.6
643,7.7,2.9,1.0,1.1
644,5.3,4.2,5.9,0.2
645,5.0,3.2,6.8,2.2
646,4.8,4.4,1.8,1.6
647,4.3,2.7,5.0,1.0
648,5.8,2.6,3.8,0.1
649,6.6,2.1,5.7,1.6
650,6.0,2.9,5.9,0.1
651,5.4,3.8,6.0,1.7
652,4.9,2.1,3.3,2.2
653,7.3,2.3,3.9,0.8
654,7.2,2.4,1.3,0.7
655,6.1,2.0,3.4,1.5
656,6.7,3.6,5.6,0.3
657,4.7,2.6,6.0,0.3
658,6.1,2.9,3.8,1.8
659,6.0,3.2,4.4,0.9
660,5.7,3.8,2.9,1.7
661,7.6,2.2,6.7,0.2
662,5.1,2.7,5.4,1.4
663,7.0,2.3,3.7,1.8
664,6.8,3.4,5.6,0.6
665,5.4,4.2,4.0,2.0
666,7.3,2.7,2.1,0.5
667,6.1,3.9,5.9,2.0
668,6.2,3.3,6.8,0.9
669,5.9,4.3,2.6,2.1
670,6.0,4.1,1.0,0.7
671,5.2,3.2,2.9,0.1
672,7.3,4.1,4.4,0.8
673,7.1,3.7,1.7,0.2
674,4.6,3.4,1.4,2.3
675,4.6,2.5,1.8,2.0
676,7.3,2.7,3.8,1.2
677,4.3,2.7,3.9,1.6
678,7.5,3.0,4.2,0.5
679,4.7,3.3,6.0,1.1
680,4.7,4.1,1.3,2.1
681,4.8,3.4,3.6,1.8
682,6.8,3.1,1.8,1.0
683,7.7,4.2,1.7,1.8
684,7.1,2.4,4.8,2.4
685,5.8,3.7,3.2,1.7
686,7.1,3.1,6.6,0.5
687,5.7,4.0,1.6,1.5
688,4.5,3.9,5.6,1.8
689,5.5,2.4,3.6,0.3
690,5.0,3.2,6.3,1.3
691,6.5,3.2,5.3,2.3
692,5.0,3.4,1.5,1.8
693,4.6,2.6,5.0,1.2
694,7.3,2.9,3.1,1.1
695,4.8,3.0,6.6,1.8
696,7.6,2.6,6.4,2.1
697,6.6,3.6,3.8,2.3
698,6.8,2.2,3.8,2.1
699,4.6,3.3,1.7,0.6
700,7.7,3.4,6.0,1.4
701,6.7,2.5,2.7,1.1
702,6.6,3.9,4.2,1.1
703,4.4,3.2,2.1,1.1
704,4.3,3.2,5.9,0.8
705,5.7,2.2,1.3,0.2
706,4.4,4.3,2.9,0.3
707,4.4,2.5,1.4,2.0
708,5.2,4.0,2.2,1.0
709,6.8,3.5,4.3,1.3
710,7.8,3.7,1.8,1.6
711,5.0,4.0,4.1,0.4
712,6.9,3.4,2.1,2.0
713,5.5,3.1,2.4,0.6
714,5.5,2.4,4.5,1.1
715,6.2,3.3,6.3,0.6
716,5.1,2.9,4.5,0.7
717,4.7,2.4,4.3,0.1
718,5.0,4.0,1.9,0.2
719,5.5,2.1,2.2,0.6
720,7.4,3.0,5.9,2.4
721,6.0,2.0,1.9,1.0
722,5.8,3.1,6.3,2.2
723,5.6,4.1,4.4,0.6
724,7.1,3.5,1.3,1.8
725,5.8,2.3,2.6,0.5
726,6.5,3.7,1.5,2.3
727,7.7,3.2,2.3,1.7
728,6.3,3.4,3.7,1.2
729,7.6,4.3,2.3,0.4
730,7.6,3.5,2.7,1.5
731,6.1,2.3,1.3,0.4
732,7.8,2.2,3.4,1.1
733,6.1,3.4,3.5,1.6
734,6.2,3.2,5.0,0.1
735,7.6,3.0,2.0,1.7
736,5.8,3.0,4.4,0.7
737,4.7,2.6,2.9,0.2
738,7.4,2.0,3.3,2.1
739,4.4,2.3,4.6,1.1
740,6.6,2.0,1.1,0.9
741,5.4,2.2,3.4,1.0
742,7.4,2.0,3.6,2.3
743,5.8,2.2,5.0,2.1
744,7.7,2.3,1.4,1.1
745,7.4,2.6,4.1,2.1
746,5.1,2.6,1.2,0.7
747,4.6,4.3,5.3,0.1
748,6.3,3.6,6.0,0.3
749,6.7,3.7,3.1,2.0
750,7.0,4.3,2.2,0.4
751,5.9,4.2,4.6,2.2
752,4.8,2.2,5.5,1.3
753,6.4,3.0,3.7,1.2
754,6.6,2.2,4.5,2.4
755,7.8,2.3,1.1,2.2
756,5.2,4.1,1.9,2.0
757,6.3,3.0,4.3,2.3
758,5.5,3.6,2.3,1.2
759,4.9,4.2,3.6,2.0
760,5.9,3.3,5.5,1.6
761,5.4,2.0,4.1,1.0
762,6.6,2.6,2.1,1.2
763,6.0,2.7,3.3,2.4
764,4.7,2.5,3.7,0.4
765,4.9,2.2,3.2,1.4
766,6.4,2.6,6.2,0.9
767,4.6,3.0,4.9,0.8
768,5.9,4.4,4.3,2.2
769,7.8,2.2,4.5,0.5
770,4.6,3.4,4.6,2.0
771,7.8,2.3,1.5,1.3
772,4.3,4.4,4.8,0.3
773,4.8,3.0,3.6,0.7
774,4.4,3.0,1.4,1.9
